,status,player_id,team_id,role,name,team,elim_per_10m,death_per_10m,dmg_per_10m,heal_per_10m,ults_per_10m,finalblows_per_10m,duration,elims,deaths,damage,heal,ults,finalblows
0,NO_CHANGE,5197,7697,flexdps,Ado,WAS,,,,,,,,,,,,,
1,NO_CHANGE,8675,7693,flexdps,Adora,HZS,,,,,,,,,,,,,
2,Updated,4142,4405,flexdps,Agilities,VAL,17.932547299149988,5.2646010419522895,5783.489188757004,10103.427474636688,5.2646010419522895,5.1000822593912805,3647,109,32,35153.975118994655,61412,32,31
3,NO_CHANGE,8751,7695,flexsupport,Aid,TOR,,,,,,,,,,,,,
4,NO_CHANGE,5863,4402,flexsupport,AimGod,BOS,,,,,,,,,,,,,
5,Updated,3985,4523,maindps,aKm,DAL,24.206466923761496,4.80569563927618,10928.102804938348,0.0,5.161673094037377,6.94156036784337,3371,136,27,61397.72425907862,0,29,39
6,NO_CHANGE,8672,4402,mainsupport,alemao,BOS,,,,,,,,,,,,,
7,Updated,8812,7692,maintank,ameng,CDH,16.37239165329053,4.815409309791333,7903.457892097965,0.0,5.393258426966292,3.852327447833066,3115,85,25,41032.1188898086,0,28,20
8,Updated,4841,4403,mainsupport,Anamo,NYE,16.784313725490197,2.0392156862745097,5459.749567892044,7012.235294117647,3.607843137254902,2.0392156862745097,3825,107,13,34805.90349531178,44703,23,13
9,NO_CHANGE,6981,4407,flexdps,Apply,FLA,,,,,,,,,,,,,
10,NO_CHANGE,5715,4404,flexdps,Architect,SFS,,,,,,,,,,,,,
11,NO_CHANGE,4652,4403,mainsupport,ArK,NYE,,,,,,,,,,,,,
12,NO_CHANGE,5878,4402,maintank,Axxiom,BOS,,,,,,,,,,,,,
13,Updated,8896,7692,maindps,Baconjack,CDH,19.65260545905707,5.062034739454094,8013.571774572047,22.332506203473944,5.062034739454094,8.635235732009926,2015,66,17,26912.245209604458,75,17,29
14,NO_CHANGE,4624,4525,maindps,Bani,HOU,,,,,,,,,,,,,
15,NO_CHANGE,8676,7693,flexdps,Bazzi,HZS,,,,,,,,,,,,,
16,NO_CHANGE,4655,4410,flexsupport,Bdosin,LDN,,,,,,,,,,,,,
17,NO_CHANGE,8731,7693,flexsupport,BEBE,HZS,,,,,,,,,,,,,
18,Updated,8708,7694,maintank,BenBest,PAR,11.199560801537196,7.576173483392808,6680.857329345026,0.0,4.282185012352457,3.9527861652484217,3643,68,46,40563.93875133988,0,26,24
19,Updated,4643,4406,mainsupport,BigG00se,GLA,18.74294316898758,3.838916070756492,4904.879565933466,4657.282649604817,3.16146029356417,3.838916070756492,2657,83,17,21720.441677808703,20624,14,17
20,NO_CHANGE,4656,4410,maindps,BIRDRING,LDN,,,,,,,,,,,,,
21,NO_CHANGE,8184,4402,flexdps,blase,BOS,,,,,,,,,,,,,
22,NO_CHANGE,4625,4525,mainsupport,Boink,HOU,,,,,,,,,,,,,
23,Updated,4079,4524,flexsupport,Boombox,PHI,13.322368421052632,4.605263157894737,8346.724601795799,10509.21052631579,4.934210526315789,4.1118421052631575,3648,81,28,50748.08557891846,63896,30,25
24,NO_CHANGE,8704,4407,maindps,bqb,FLA,,,,,,,,,,,,,
25,Updated,8771,7696,maintank,BUMPER,VAN,19.76393082624211,6.09387867142465,9566.191858761653,0.0,5.43508097721658,5.929179247872633,3643,120,37,58082.728235781164,0,33,36
26,Updated,4620,4524,maindps,carpe,PHI,18.924849149753154,3.7849698299506307,9945.419585050855,0.0,4.9369171695008225,5.759736697750959,3646,115,23,60434.99967849237,0,30,35
27,NO_CHANGE,8721,7699,mainsupport,Chara,GZC,,,,,,,,,,,,,
28,Updated,5831,4404,offtank,Choihyobin,SFS,12.862745098039216,4.862745098039215,6118.276056602889,0.0,3.450980392156863,4.078431372549019,3825,82,31,39004.00986084342,0,22,26
29,Updated,4663,4523,mainsupport,Closer,DAL,18.4998517640083,2.66824785057812,4887.32233440492,5037.1182923213755,3.201897420693744,4.091313370886451,3373,104,15,27474.897056579663,28317,18,23
30,NO_CHANGE,5306,4402,maindps,ColourHex,BOS,,,,,,,,,,,,,
31,Updated,8892,4408,mainsupport,CoMa,SHD,13.527143280925541,3.5597745476119846,4321.106408548367,4340.789083358054,2.6698309107089884,2.4918421833283895,3371,76,20,24277.416172027573,24388,15,14
32,NO_CHANGE,4138,4525,offtank,coolmatt,HOU,,,,,,,,,,,,,
33,NO_CHANGE,8784,7697,maindps,Corey,WAS,,,,,,,,,,,,,
34,NO_CHANGE,3577,4405,mainsupport,Custa,VAL,,,,,,,,,,,,,
35,Updated,8701,7698,offtank,Daco,ATL,11.963882618510159,5.191873589164786,7340.487779054632,0.0,2.708803611738149,3.3860045146726865,2658,53,23,32518.360861212015,0,12,15
36,Updated,8711,7698,maindps,dafran,ATL,15.24390243902439,6.402439024390245,11505.639934303585,0.0,5.487804878048781,5.182926829268293,1968,50,21,37738.498984515754,0,18,17
37,NO_CHANGE,4489,4525,maindps,Danteh,HOU,,,,,,,,,,,,,
38,Updated,8895,4408,maindps,DDing,SHD,20.666666666666668,2.0,6143.96383980909,39.666666666666664,5.0,4.666666666666667,1800,62,6,18431.89151942727,119,15,14
39,Updated,8180,4406,maindps,Decay,GLA,29.79683972911964,3.3860045146726865,13330.03309858841,0.0,5.417607223476298,9.480812641083523,2658,132,15,59052.046626746655,0,24,42
40,Updated,8893,4408,maindps,diem,SHD,18.68881637496292,6.407594185701573,9758.920921147039,0.0,4.449718184514981,6.407594185701573,3371,105,36,54828.87070864445,0,25,36
41,Updated,9251,7698,flexsupport,Dogman,ATL,8.96513558384062,8.633093525179856,7502.536955497243,9802.877697841726,4.980630879911455,1.992252351964582,1807,27,26,22595.140464305863,29523,15,6
42,NO_CHANGE,4616,4523,maindps,EFFECT,DAL,,,,,,,,,,,,,
43,NO_CHANGE,8722,7699,flexdps,Eileen,GZC,,,,,,,,,,,,,
44,NO_CHANGE,5175,4524,flexsupport,Elk,PHI,,,,,,,,,,,,,
45,Updated,8787,7692,offtank,Elsa,CDH,16.757624398073837,3.659711075441413,7624.196932903263,58.94060995184591,4.237560192616373,4.044943820224719,3115,87,19,39582.2890766561,306,22,21
46,Updated,4634,7695,offtank,Envy,TOR,15.028901734104045,4.624277456647398,7413.157236375107,34.29672447013487,3.4682080924855487,5.58766859344894,3114,78,24,38474.286056786805,178,18,29
47,Updated,4083,4524,flexdps,eqo,PHI,18.42105263157895,4.934210526315789,5015.570413595747,10266.282894736842,5.098684210526316,4.605263157894737,3648,112,30,30494.66811466214,62419,31,28
48,Updated,8692,7698,flexdps,Erster,ATL,16.25893865261573,5.645464809936017,6720.512730006569,7061.3473842679705,4.7421904403462545,4.516371847948814,2657,72,25,29760.67053937909,31270,21,20
49,NO_CHANGE,8684,7697,mainsupport,Fahzix,WAS,,,,,,,,,,,,,
50,Updated,4636,4405,maintank,Fate,VAL,16.611842105263158,5.921052631578947,8801.810825292614,0.0,4.440789473684211,4.276315789473684,3648,101,36,53515.00981777909,0,27,26
51,Updated,5864,7694,offtank,Finnsi,PAR,16.14054350809772,6.752676365632721,6644.567181567973,0.0,3.9527861652484217,5.105682130112545,3643,98,41,40343.597070753545,0,24,31
52,NO_CHANGE,4657,4409,maintank,Fissure,SEO,,,,,,,,,,,,,
53,NO_CHANGE,4631,4409,maindps,Fleta,SEO,,,,,,,,,,,,,
54,NO_CHANGE,4659,4410,offtank,Fury,LDN,,,,,,,,,,,,,
55,NO_CHANGE,8203,4402,maintank,Fusions,BOS,,,,,,,,,,,,,
56,Updated,4606,4408,maintank,Gamsu,SHD,14.595075645209137,8.721447641649362,7683.710277013336,0.0,4.449718184514981,4.80569563927618,3371,82,49,43169.64557301992,0,25,27
57,NO_CHANGE,8712,7698,maintank,Gator,ATL,,,,,,,,,,,,,
58,Updated,5210,4408,offtank,Geguri,SHD,24.345549738219894,4.712041884816753,9773.192693729969,0.0,3.926701570680628,10.994764397905758,764,31,6,12444.532030016162,0,5,14
59,NO_CHANGE,4666,4410,maintank,Gesture,LDN,,,,,,,,,,,,,
60,NO_CHANGE,4413,7697,flexsupport,Gido,WAS,,,,,,,,,,,,,
61,NO_CHANGE,8713,7693,maindps,GodsB,HZS,,,,,,,,,,,,,
62,NO_CHANGE,8789,4410,flexdps,Guard,LDN,,,,,,,,,,,,,
63,NO_CHANGE,8741,7693,maintank,Guxue,HZS,,,,,,,,,,,,,
64,NO_CHANGE,4664,4407,flexsupport,HaGoPeun,FLA,,,,,,,,,,,,,
65,Updated,8750,7696,flexdps,Haksal,VAN,26.022508921218776,3.9527861652484217,5920.448380998287,9574.306889925885,5.270381553664563,6.09387867142465,3643,158,24,35946.98908662793,58132,32,37
66,NO_CHANGE,8723,7699,maindps,Happy,GZC,,,,,,,,,,,,,
67,NO_CHANGE,4671,7699,offtank,HOTBA,GZC,,,,,,,,,,,,,
68,Updated,4645,4406,flexdps,Hydration,GLA,23.024830699774267,3.611738148984199,5961.41009540644,10628.893905191875,5.417607223476298,2.9345372460496617,2658,102,16,26409.046722650528,47086,24,13
69,NO_CHANGE,8782,7697,mainsupport,Hyeonu,WAS,,,,,,,,,,,,,
70,Updated,8742,7694,mainsupport,HyP,PAR,11.034861377985179,7.9055723304968435,6891.188288199641,10779.247872632446,5.105682130112545,2.6351907768322813,3643,67,48,41840.99822318548,65448,31,16
71,NO_CHANGE,8717,7693,mainsupport,iDK,HZS,,,,,,,,,,,,,
72,Updated,8754,7695,maindps,ivy,TOR,17.72639691714836,5.394990366088631,10590.595364409812,0.0,4.43159922928709,7.129094412331406,3114,92,28,54965.189941286924,0,23,37
73,Updated,5872,4405,flexsupport,IZaYaKI,VAL,15.131578947368421,4.440789473684211,8393.632636925122,10074.013157894737,4.934210526315789,3.4539473684210527,3648,92,27,51033.28643250474,61250,30,21
74,NO_CHANGE,4140,4525,flexdps,Jake,HOU,,,,,,,,,,,,,
75,NO_CHANGE,4648,7697,maintank,Janus,WAS,,,,,,,,,,,,,
76,NO_CHANGE,8179,4409,mainsupport,Jecse,SEO,,,,,,,,,,,,,
77,Updated,8811,7692,flexdps,JinMu,CDH,17.148362235067435,6.551059730250481,9163.43919748514,4246.628131021194,4.816955684007707,7.7071290944123305,3114,89,34,47558.24943494788,22040,25,40
78,Updated,8748,7696,offtank,JJANU,VAN,31.29289047488334,1.8116936590721933,7375.974615854505,0.0,3.458687894592369,8.89376887180895,3643,190,11,44784.45920926327,0,21,54
79,Updated,4653,4403,flexsupport,JJONAK,NYE,18.029788345962896,3.1356153645152864,10315.560330763969,10977.162268095115,5.3305461196759865,6.114449960804809,3827,115,20,65796.08230972284,70016,34,39
80,Updated,4635,4405,maindps,KariV,VAL,18.102029621503014,4.772353263850795,10681.123506176033,0.0,5.430608886450905,5.759736697750959,3646,110,29,64905.6271725297,0,33,35
81,NO_CHANGE,3981,4402,mainsupport,Kellex,BOS,,,,,,,,,,,,,
82,Updated,8691,7698,flexsupport,Kodak,ATL,16.216216216216218,5.64042303172738,9305.956881418902,11448.64864864865,5.64042303172738,3.5252643948296125,851,23,8,13198.948843479142,16238,8,5
83,NO_CHANGE,8706,4407,mainsupport,Kris,FLA,,,,,,,,,,,,,
84,Updated,8744,7694,mainsupport,Kruise,PAR,11.364260225089213,7.411474059840791,5179.918499526962,5788.52594015921,3.788086741696404,2.799890200384299,3643,69,45,31450.738489627867,35146,23,17
85,NO_CHANGE,5865,4405,maindps,KSF,VAL,,,,,,,,,,,,,
86,Updated,4647,4405,mainsupport,KuKi,VAL,13.161502604880724,4.277488346586235,3842.532362949697,4601.754867013984,2.961338086098163,2.1387441732931176,3647,80,26,23356.19254612924,27971,18,13
87,NO_CHANGE,8674,7699,flexdps,Kyb,GZC,,,,,,,,,,,,,
