,status,player_id,team_id,role,name,team,elim_per_10m,death_per_10m,dmg_per_10m,heal_per_10m,ults_per_10m,finalblows_per_10m,duration,elims,deaths,damage,heal,ults,finalblows
0,Updated,5197,7697,flexdps,Ado,WAS,12.872467222884385,5.363528009535161,4160.25623473848,8887.187127532776,4.290822407628128,3.575685339690107,3356,72,30,23269.699872970567,49709,24,20
1,NO_CHANGE,8675,7693,flexdps,Adora,HZS,,,,,,,,,,,,,
2,Updated,4142,4405,flexdps,Agilities,VAL,18.421720375539202,5.6330880487186,4590.413653115526,9154.0725704136,5.176351179903578,4.567368688150216,3941,121,37,30151.367011547147,60127,34,30
3,NO_CHANGE,8751,7695,flexsupport,Aid,TOR,,,,,,,,,,,,,
4,Updated,5863,4402,flexsupport,AimGod,BOS,17.954677513073797,3.486345148169669,8231.672966667284,9518.245206275422,4.53224869262057,4.357931435212087,3442,103,20,47222.36391878131,54603,26,25
5,NO_CHANGE,3985,4523,maindps,aKm,DAL,,,,,,,,,,,,,
6,NO_CHANGE,8672,4402,mainsupport,alemao,BOS,,,,,,,,,,,,,
7,Updated,8812,7692,maintank,ameng,CDH,15.080213903743315,6.737967914438503,7877.207115327616,0.0,5.133689839572193,5.935828877005347,3740,94,42,49101.257685542136,0,32,37
8,NO_CHANGE,4841,4403,mainsupport,Anamo,NYE,,,,,,,,,,,,,
9,Updated,6981,4407,flexdps,Apply,FLA,14.468332364904127,5.229517722254504,4626.636179403674,7980.592678675189,4.53224869262057,2.963393375944219,3442,83,30,26541.469549179074,45782,26,17
10,NO_CHANGE,5715,4404,flexdps,Architect,SFS,,,,,,,,,,,,,
11,NO_CHANGE,4652,4403,mainsupport,ArK,NYE,,,,,,,,,,,,,
12,NO_CHANGE,5878,4402,maintank,Axxiom,BOS,,,,,,,,,,,,,
13,Updated,8896,7692,maindps,Baconjack,CDH,17.491369390103568,4.833141542002302,9301.573268240985,2.761795166858458,5.063291139240507,5.523590333716916,2607,76,21,40415.33585050708,12,22,24
14,NO_CHANGE,4624,4525,flexsupport,Bani,HOU,,,,,,,,,,,,,
15,Updated,8676,7693,flexdps,Bazzi,HZS,13.284132841328413,6.642066420664206,4094.2577632692364,8169.230769230769,4.087425489639512,2.043712744819756,3523,78,39,24040.1168333292,47967,24,12
16,Updated,4655,4410,flexsupport,Bdosin,LDN,12.990527740189444,6.089309878213802,6841.830059591591,8485.453315290933,4.465493910690122,3.8565629228687417,2956,64,30,33707.416093587904,41805,22,19
17,Updated,8731,7693,flexsupport,BEBE,HZS,13.458262350936968,5.110732538330494,7925.685860127784,9739.863713798977,4.429301533219761,2.8960817717206133,3522,79,30,46523.77599895009,57173,26,17
18,Updated,8708,7694,maintank,BenBest,PAR,10.145888594164457,6.564986737400531,7399.535579987325,0.0,4.575596816976128,2.1883289124668437,3016,51,33,37194.998848736286,0,23,11
19,Updated,4643,4406,mainsupport,BigG00se,GLA,9.341950646298473,5.111633372502938,4387.541826491356,6220.15276145711,3.5252643948296125,1.410105757931845,3404,53,29,24891.987295627623,35289,20,8
20,NO_CHANGE,4656,4410,maindps,BIRDRING,LDN,,,,,,,,,,,,,
21,Updated,8184,4402,flexdps,blase,BOS,19.523532829750145,4.357931435212087,4696.62467952663,7909.819872167345,4.357931435212087,4.1836141778036025,3442,112,25,26942.970244884433,45376,25,24
22,Updated,4625,4525,mainsupport,Boink,HOU,14.61557980208069,3.3494037046434917,4740.879130006534,4583.658969804618,2.588175589951789,4.567368688150216,3941,96,22,31139.674418926254,30107,17,30
23,NO_CHANGE,4079,4524,flexsupport,Boombox,PHI,,,,,,,,,,,,,
24,Updated,8704,4407,maindps,bqb,FLA,14.816966879721093,3.834979662986636,9401.877396010444,37.652527600232425,5.05520046484602,3.3120278907611858,3442,85,22,53935.43666177991,216,29,19
25,Updated,8771,7696,maintank,BUMPER,VAN,15.72192513368984,6.577540106951871,8090.346481911639,0.0,4.81283422459893,4.973262032085562,3740,98,41,50429.82640391588,0,30,31
26,NO_CHANGE,4620,4524,maindps,carpe,PHI,,,,,,,,,,,,,
27,Updated,8721,7699,mainsupport,Chara,GZC,13.215859030837004,2.995594713656388,6239.412762478059,5758.942731277533,3.7004405286343616,2.643171806167401,3405,75,17,35408.66742706299,32682,21,15
28,Updated,5831,4404,offtank,Choihyobin,SFS,22.487562189054724,2.7860696517412933,7523.719167970294,0.0,2.9850746268656714,7.363184079601989,3015,113,14,37806.68881905073,0,15,37
29,NO_CHANGE,4663,4523,mainsupport,Closer,DAL,,,,,,,,,,,,,
30,Updated,5306,4402,maindps,ColourHex,BOS,21.26670540383498,2.963393375944219,10527.53780246958,0.0,4.53224869262057,4.880883207437536,3442,122,17,60392.97519350049,0,26,28
31,Updated,8892,4408,mainsupport,CoMa,SHD,15.634517766497462,3.654822335025381,3195.5584767143164,5812.38578680203,3.451776649746193,1.4213197969543148,2955,77,18,15738.125497818008,28626,17,7
32,Updated,4138,4525,offtank,coolmatt,HOU,21.22905027932961,3.910614525139665,8783.95055187814,0.0,5.58659217877095,7.262569832402234,1074,38,7,15723.271487861872,0,10,13
33,Updated,8784,7697,maindps,Corey,WAS,13.945172824791417,5.363528009535161,10245.694822737229,0.0,4.469606674612634,5.00595947556615,3356,78,30,57307.58637517691,0,25,28
34,NO_CHANGE,3577,4405,mainsupport,Custa,VAL,,,,,,,,,,,,,
35,NO_CHANGE,8701,7698,offtank,Daco,ATL,,,,,,,,,,,,,
36,NO_CHANGE,8711,7698,maindps,dafran,ATL,,,,,,,,,,,,,
37,Updated,4489,4525,maindps,Danteh,HOU,17.16079525636554,3.348447854900593,7768.007828850847,162.19044297174747,5.441227764213464,3.976281827694454,2867,82,16,37118.1307421923,775,26,19
38,Updated,8895,4408,maindps,DDing,SHD,23.38015405527866,4.621658359764386,7667.02695897547,1264.9750792931582,4.621658359764386,7.884005437245129,2207,86,17,28201.88083076477,4653,17,29
39,Updated,8180,4406,maindps,Decay,GLA,16.387665198237887,3.3480176211453747,11862.431580484707,0.0,5.286343612334802,6.5198237885462555,3405,93,19,67319.29921925071,0,30,37
40,Updated,8893,4408,maindps,diem,SHD,24.56021650879567,3.6535859269282813,10327.581794933001,0.0,4.668470906630581,9.742895805142084,2956,121,18,50880.552976369916,0,23,48
41,NO_CHANGE,9251,7698,flexsupport,Dogman,ATL,,,,,,,,,,,,,
42,NO_CHANGE,4616,4523,maindps,EFFECT,DAL,,,,,,,,,,,,,
43,Updated,8722,7699,flexdps,Eileen,GZC,24.0,3.1304347826086953,5526.191877862681,5150.608695652174,4.173913043478261,2.0869565217391304,575,23,3,5295.933882951736,4936,4,2
44,NO_CHANGE,5175,4524,flexsupport,Elk,PHI,,,,,,,,,,,,,
45,Updated,8787,7692,offtank,Elsa,CDH,16.684491978609625,3.6898395721925135,7643.874574655845,0.0,2.5668449197860963,4.491978609625669,3740,104,23,47646.81818202144,0,16,28
46,Updated,4634,7695,offtank,Envy,TOR,20.61328790459966,4.599659284497444,8047.706544353578,32.19761499148211,4.258943781942079,4.940374787052811,3522,121,27,47240.0374153555,189,25,29
47,NO_CHANGE,4083,4524,flexdps,eqo,PHI,,,,,,,,,,,,,
48,NO_CHANGE,8692,7698,flexdps,Erster,ATL,,,,,,,,,,,,,
49,Updated,8684,7697,mainsupport,Fahzix,WAS,9.475566150178784,2.502979737783075,4317.178849582874,6463.766388557807,3.2181168057210963,0.8939213349225268,3356,53,14,24147.420365333543,36154,18,5
50,Updated,4636,4405,maintank,Fate,VAL,16.290281654402435,5.7853336716569395,7823.761851226164,0.0,4.262877442273535,5.328596802841918,3941,107,38,51389.07575947052,0,28,35
51,Updated,5864,7694,offtank,Finnsi,PAR,12.935323383084576,4.776119402985074,7898.0663671363045,0.0,4.17910447761194,4.378109452736318,3015,65,24,39687.783494859934,0,21,22
52,NO_CHANGE,4657,4409,maintank,Fissure,SEO,,,,,,,,,,,,,
53,Updated,4631,4409,maindps,Fleta,SEO,15.37544696066746,3.3969010727056017,5053.739865182814,8682.300357568532,4.469606674612634,3.2181168057210963,3356,86,19,28267.251645922544,48563,25,18
54,Updated,4659,4410,offtank,Fury,LDN,18.064952638700948,5.480378890392422,7319.594968022604,0.0,3.6535859269282813,4.059539918809201,2956,89,27,36061.20454245803,0,18,20
55,Updated,8203,4402,maintank,Fusions,BOS,19.000581057524695,5.57815223707147,8183.424048005387,0.0,4.357931435212087,7.669959325973272,3442,109,32,46945.5759553909,0,25,44
56,Updated,4606,4408,maintank,Gamsu,SHD,20.710659898477157,5.888324873096447,7235.456648127095,0.0,4.2639593908629445,7.106598984771574,2955,102,29,35634.62399202594,0,21,35
57,NO_CHANGE,8712,7698,maintank,Gator,ATL,,,,,,,,,,,,,
58,Updated,5210,4408,offtank,Geguri,SHD,13.374327440430438,4.15065334358186,6092.4685092406735,0.0,3.228285933897002,4.611837048424289,1301,29,9,13210.502550870195,0,7,10
59,Updated,4666,4410,maintank,Gesture,LDN,14.416243654822335,7.715736040609137,6332.278874029357,0.0,3.654822335025381,6.091370558375635,2955,71,38,31186.473454594583,0,18,30
60,Updated,4413,7697,flexsupport,Gido,WAS,9.51219512195122,2.9268292682926833,7783.696683558016,10860.731707317074,4.634146341463415,1.9512195121951221,2460,39,12,31913.15640258786,44529,19,8
61,Updated,8713,7693,maindps,GodsB,HZS,16.35434412265758,4.770017035775128,9941.668430463225,0.0,4.088586030664395,5.281090289608177,3522,96,28,58357.593686819135,0,24,31
62,Updated,8789,4410,flexdps,Guard,LDN,16.243654822335024,5.4822335025380715,5875.507419315084,4512.284263959391,4.873096446700508,3.8578680203045685,2955,80,27,28936.874040126786,22223,24,19
63,Updated,8863,4408,flexdps,GuardiaN,SHD,0.0,5.504587155963303,4736.24694101308,0.0,5.504587155963303,0.0,327,0,3,2581.254582852129,0,3,0
64,Updated,8741,7693,maintank,Guxue,HZS,13.798977853492334,5.281090289608177,7157.389171769299,0.0,4.088586030664395,4.599659284497444,3522,81,31,42013.874438285784,0,24,27
65,Updated,4664,4407,flexsupport,HaGoPeun,FLA,12.550842533410808,4.53224869262057,7773.184334767695,10846.01975595584,4.880883207437536,4.1836141778036025,3442,72,26,44592.16746711734,62220,28,24
66,Updated,8750,7696,flexdps,Haksal,VAN,19.41176470588235,2.8877005347593583,5929.918194416363,10382.887700534759,5.454545454545454,4.010695187165775,3740,121,18,36963.15674519533,64720,34,25
67,Updated,8723,7699,maindps,Happy,GZC,16.916299559471366,2.8193832599118944,12376.864664995734,0.0,5.462555066079295,4.229074889867841,3405,96,16,70238.70697385079,0,31,24
68,Updated,4671,7699,offtank,HOTBA,GZC,16.0352422907489,2.4669603524229076,6962.873370810227,0.0,2.1145374449339207,4.229074889867841,3405,91,14,39514.30637934804,0,12,24
69,Updated,4645,4406,flexdps,Hydration,GLA,12.338425381903644,5.111633372502938,5540.603262991499,9618.86016451234,5.287896592244419,1.9388954171562869,3404,70,29,31433.6891787051,54571,30,11
70,NO_CHANGE,8782,7697,mainsupport,Hyeonu,WAS,,,,,,,,,,,,,
71,Updated,8742,7694,mainsupport,HyP,PAR,10.742705570291777,5.769230769230769,7331.318022148696,12707.228116710876,4.973474801061008,2.1883289124668437,3016,54,29,36852.091924667446,63875,25,11
72,Updated,8717,7693,mainsupport,iDK,HZS,11.41396933560477,4.770017035775128,4643.749202942727,5149.2333901192505,3.0664395229982966,1.362862010221465,3522,67,28,27258.807821273804,30226,18,8
73,Updated,8754,7695,maindps,ivy,TOR,21.62929321600908,4.257734885041158,11457.160203144887,0.0,4.938972466647743,7.663922793074084,3523,127,25,67272.62565946573,0,29,45
74,Updated,5872,4405,flexsupport,IZaYaKI,VAL,17.81273788378584,5.7853336716569395,7109.130565656118,10956.356254757675,4.567368688150216,5.7853336716569395,3941,117,38,46695.139265417936,71965,30,38
75,Updated,4140,4525,flexdps,Jake,HOU,16.138036031464097,6.242070540471961,4835.83684445516,7193.453438213652,4.719614311088556,4.262877442273535,3941,106,41,31763.38833999631,47249,31,28
76,Updated,4648,7697,maintank,Janus,WAS,12.33611442193087,6.2574493444576875,7165.398082062513,0.0,4.469606674612634,3.754469606674612,3356,69,35,40078.45993900299,0,25,21
77,NO_CHANGE,8179,4409,mainsupport,Jecse,SEO,,,,,,,,,,,,,
78,Updated,8811,7692,flexdps,JinMu,CDH,15.717722534081796,6.255012028869286,8242.383507995894,6428.22774659182,5.773857257417802,4.811547714514836,3741,98,39,51391.261172354396,40080,36,30
79,Updated,8748,7696,offtank,JJANU,VAN,21.010425020048114,2.2453889334402564,7177.8084206074445,0.0,2.566158781074579,5.292702485966319,3741,131,14,44753.63550248742,0,16,33
80,NO_CHANGE,4653,4403,flexsupport,JJONAK,NYE,,,,,,,,,,,,,
81,Updated,4635,4405,maindps,KariV,VAL,20.70540471961431,4.110631819335194,8859.973091983586,0.0,4.262877442273535,4.719614311088556,3941,136,27,58195.25659251219,0,28,31
82,Updated,3981,4402,mainsupport,Kellex,BOS,13.248111563044743,3.137710633352702,4007.52904028619,5362.870424171993,3.137710633352702,1.220220801859384,3442,76,18,22989.858261108442,30765,18,7
83,NO_CHANGE,8691,7698,flexsupport,Kodak,ATL,,,,,,,,,,,,,
84,Updated,8706,4407,mainsupport,Kris,FLA,11.15630447414294,4.357931435212087,4030.6578068176204,5211.214410226613,2.963393375944219,2.614758861127252,3442,64,25,23122.540285110415,29895,17,15
85,Updated,8744,7694,mainsupport,Kruise,PAR,10.145888594164457,5.371352785145889,5290.327461660693,7001.657824933687,3.9787798408488064,2.984084880636605,3016,51,27,26592.712707281084,35195,20,15
86,NO_CHANGE,5865,4405,maindps,KSF,VAL,,,,,,,,,,,,,
87,Updated,4647,4405,mainsupport,KuKi,VAL,12.788632326820604,4.871859934026896,3177.6640570426844,4252.524739913728,2.435929967013448,2.435929967013448,3941,84,32,20871.9567480087,27932,16,16
88,Updated,8674,7699,flexdps,Kyb,GZC,13.780918727915195,3.8162544169611308,4653.261916763803,9098.374558303887,4.6643109540636045,3.8162544169611308,2830,65,18,21947.885374069272,42914,22,18
89,Updated,8772,7692,flexsupport,Kyo,CDH,14.27807486631016,4.491978609625669,8211.228771082211,9711.497326203209,5.133689839572193,3.3689839572192515,3740,89,28,51183.32600641245,60535,32,21
90,Updated,8786,7692,offtank,lateyoung,CDH,11.650485436893204,5.825242718446602,11699.610722680514,1.0591350397175638,5.825242718446602,4.236540158870255,1133,22,11,22092.764914661704,2,11,8
91,NO_CHANGE,4654,4403,flexdps,Libero,NYE,,,,,,,,,,,,,
92,Updated,4629,4525,flexdps,LiNkzr,HOU,17.878426698450536,6.4362336114421925,8570.195498980838,0.0,5.721096543504172,10.0119189511323,839,25,9,11983.990039408207,0,8,14
93,Updated,8891,4408,flexsupport,Luffy,SHD,18.274111675126903,5.4822335025380715,6138.079933708695,8173.807106598985,4.060913705583756,4.2639593908629445,2955,90,27,30230.04367351532,40256,20,21
94,NO_CHANGE,4093,4403,maintank,Mano,NYE,,,,,,,,,,,,,
95,NO_CHANGE,8681,7698,mainsupport,Masaa,ATL,,,,,,,,,,,,,
96,NO_CHANGE,9285,4407,offtank,Mcgravy,FLA,,,,,,,,,,,,,
97,NO_CHANGE,4649,4403,offtank,MekO,NYE,,,,,,,,,,,,,
98,NO_CHANGE,8242,4409,offtank,Michelle,SEO,,,,,,,,,,,,,
99,Updated,5716,4404,mainsupport,moth,SFS,16.51741293532338,2.587064676616915,4876.0598505314365,6372.139303482587,3.5820895522388057,2.189054726368159,3015,83,13,24502.20074892047,32020,18,11
100,Updated,4623,4525,maintank,Muma,HOU,14.15884293326567,6.394316163410302,7249.511021461846,0.0,4.567368688150216,5.480842425780259,3941,93,42,47617.20489263523,0,30,36
101,NO_CHANGE,4642,4409,flexdps,Munchkin,SEO,,,,,,,,,,,,,
102,Updated,4612,7695,flexsupport,Neko,TOR,15.498154981549815,1.7030939540164631,7719.286306534448,9453.874538745387,4.59835367584445,5.449900652852682,3523,91,10,45325.07609653477,55510,27,32
103,NO_CHANGE,8236,4403,maindps,Nenne,NYE,,,,,,,,,,,,,
104,NO_CHANGE,4024,4524,mainsupport,neptuNo,PHI,,,,,,,,,,,,,
105,NO_CHANGE,4626,4404,offtank,Nevix,SFS,,,,,,,,,,,,,
106,Updated,8743,7694,flexdps,NiCOgdh,PAR,10.543766578249338,5.371352785145889,5003.925778141702,11166.445623342175,5.570291777188329,2.1883289124668437,3016,53,27,25153.066911458955,56130,28,11
107,NO_CHANGE,8671,7698,flexdps,NLaaeR,ATL,,,,,,,,,,,,,
