,Unnamed: 0_prev,playerId_prev,teamId_prev,role_prev,name,team_prev,eliminations_avg_per_10m_prev,deaths_avg_per_10m_prev,hero_damage_avg_per_10m_prev,healing_avg_per_10m_prev,ultimates_earned_avg_per_10m_prev,final_blows_avg_per_10m_prev,time_played_total_prev,total_elims_prev,total_deaths_prev,total_hero_damage_prev,total_healing_prev,total_ultimates_prev,total_final_blows_prev,Unnamed: 0_curr,playerId_curr,teamId_curr,role_curr,team_curr,eliminations_avg_per_10m_curr,deaths_avg_per_10m_curr,hero_damage_avg_per_10m_curr,healing_avg_per_10m_curr,ultimates_earned_avg_per_10m_curr,final_blows_avg_per_10m_curr,time_played_total_curr,total_elims_curr,total_deaths_curr,total_hero_damage_curr,total_healing_curr,total_ultimates_curr,total_final_blows_curr
0,0.0,5197.0,7697.0,flexdps,Ado,WAS,9.120878018300383,5.030302422214152,4405.7663150046055,8807.732276629293,4.422243887660792,2.211121943830396,10854.21817958355,165.0,91.0,79701.91471886636,159335.07966315743,80.0,40.0,0,5197,7697,flexdps,WAS,9.120878018300383,5.030302422214152,4405.7663150046055,8807.732276629293,4.422243887660792,2.211121943830396,10854.21817958355,165.0,91.0,79701.91471886636,159335.07966315743,80.0,40.0
1,1.0,8675.0,7693.0,flexdps,Adora,HZS,14.18563433885192,4.298677072379371,4294.318757279122,8900.980565242058,4.728544779617307,2.794140097046591,2791.5565179586406,65.99999999999999,20.0,19979.722528457638,41412.650521874435,22.0,12.999999999999998,1,8675,7693,flexdps,HZS,14.18563433885192,4.298677072379371,4294.318757279122,8900.980565242058,4.728544779617307,2.794140097046591,2791.5565179586406,65.99999999999999,20.0,19979.722528457638,41412.650521874435,22.0,12.999999999999998
2,2.0,4142.0,4405.0,flexdps,Agilities,VAL,15.7749760945468,5.373892955285172,6235.477754340392,10183.339839297747,5.547244340939535,3.224335773171105,17305.889933764938,455.0,155.0,179850.81950175765,293719.5973616839,160.00000000000006,93.0,2,4142,4405,flexdps,VAL,16.150559822420885,5.354884196440968,6156.8223362230065,10169.465795736907,5.498062918270938,3.5508323013833154,20952.834064006805,564.0,187.00000000000003,215004.7946207523,355131.88222944725,192.0,124.0
3,3.0,8751.0,7695.0,flexsupport,Aid,TOR,16.253043547234082,4.9206462115479335,7053.5185582533095,10708.95709470882,4.721832223202561,3.181023813525936,12071.585203707216,327.0,99.0,141911.91710314155,215456.81335270405,95.0,63.99999999999999,3,8751,7695,flexsupport,TOR,16.253043547234082,4.9206462115479335,7053.5185582533095,10708.95709470882,4.721832223202561,3.181023813525936,12071.585203707216,327.0,99.0,141911.91710314155,215456.81335270405,95.0,63.99999999999999
4,4.0,5863.0,4402.0,flexsupport,AimGod,BOS,13.835938030898076,4.788093113317951,7463.632783952406,10094.318822524812,4.788093113317951,3.5332825043104874,18170.072707653046,419.0,145.00000000000003,226024.5839127302,305690.84489917755,145.00000000000003,107.0,4,5863,4402,flexsupport,BOS,13.835938030898076,4.788093113317951,7463.632783952406,10094.318822524812,4.788093113317951,3.5332825043104874,18170.072707653046,419.0,145.00000000000003,226024.5839127302,305690.84489917755,145.00000000000003,107.0
5,5.0,3985.0,4523.0,maindps,aKm,DAL,21.298906829976026,4.382071740138608,10230.809501594047,24.435148649034012,4.840660643176371,6.929787868126169,11775.25222313404,418.0,85.99999999999999,200783.93721351027,479.55006408691423,95.0,135.99999999999997,5,3985,4523,maindps,DAL,21.946288102541228,4.476408945103173,10386.12685537972,18.997010588526205,4.9121655680778185,6.932491729142082,15146.069278180601,554.0000000000001,113.0,262181.6614725889,479.5500640869139,124.0,175.0
6,6.0,8672.0,4402.0,mainsupport,alemao,BOS,13.045985441951409,4.711050298482453,4793.268094141436,4990.147961771174,3.261496360487852,1.8119424224932512,1655.6817494630814,36.0,13.0,13226.877506256109,13770.161512374878,9.0,5.0,6,8672,4402,mainsupport,BOS,13.045985441951409,4.711050298482453,4793.268094141436,4990.147961771174,3.261496360487852,1.8119424224932512,1655.6817494630814,36.0,13.0,13226.877506256109,13770.161512374878,9.0,5.0
7,7.0,8812.0,7692.0,maintank,ameng,CDH,15.506285260322981,6.76023335599912,7061.023625549406,0.0,4.520906056824411,4.436403139874422,14200.693222343922,367.0,160.00000000000003,167119.05057024962,0.0,107.0,105.0,7,8812,7692,maintank,CDH,15.66247576904104,6.410526586886268,7212.749221163092,0.0,4.677951833673763,4.3314368830312615,17315.270203709602,451.99999999999983,185.0,208151.1694600582,0.0,135.0,125.0
8,8.0,4841.0,4403.0,mainsupport,Anamo,NYE,19.682712046309486,1.7701796701177697,5085.026362092307,6046.436172944787,3.456065070229931,2.1073567501402017,14235.843075931072,467.00000000000006,42.0,120649.39554619788,143460.19421112534,82.0,50.0,8,4841,4403,mainsupport,NYE,19.06873482811984,1.8271435810916223,5164.348214370417,6250.91697723055,3.488183200265824,2.0929099201594945,18060.977988541126,574.0,55.0,155455.29904150966,188162.78988993168,105.0,62.99999999999999
9,9.0,6981.0,4407.0,flexdps,Apply,FLA,12.750649274433473,6.4540323487873135,5008.681171845823,7427.370104336916,4.879878117375773,2.9908930396819247,3811.5706074237823,81.0,41.0,31818.23656094074,47183.24263358117,30.999999999999996,19.0,9,6981,4407,flexdps,FLA,12.750649274433473,6.4540323487873135,5008.681171845823,7427.370104336916,4.879878117375773,2.9908930396819247,3811.5706074237823,81.0,41.0,31818.23656094074,47183.24263358117,30.999999999999996,19.0
10,10.0,5715.0,4404.0,flexdps,Architect,SFS,15.222207120647465,4.4487436303300685,5243.971435991112,8473.734890062495,4.8239388762615185,3.7519524593145164,11194.171689391133,284.0,82.99999999999999,97836.52764791249,158094.07201623914,89.99999999999996,70.0,10,5715,4404,flexdps,SFS,15.222207120647465,4.4487436303300685,5243.971435991112,8473.734890062495,4.8239388762615185,3.7519524593145164,11194.171689391133,284.0,82.99999999999999,97836.52764791249,158094.07201623914,89.99999999999996,70.0
11,11.0,4652.0,4403.0,mainsupport,ArK,NYE,10.032708095530491,2.7676436125601356,3005.7645935554997,5154.747516908129,2.421688160990119,1.037866354710051,1734.3273455500605,29.0,8.000000000000002,8688.299548149109,14900.032629966736,7.000000000000003,3.0000000000000013,11,4652,4403,mainsupport,NYE,10.032708095530491,2.7676436125601356,3005.7645935554997,5154.747516908129,2.421688160990119,1.037866354710051,1734.3273455500605,29.0,8.000000000000002,8688.299548149109,14900.032629966736,7.000000000000003,3.0000000000000013
12,12.0,5878.0,4402.0,maintank,Axxiom,BOS,13.589014561645525,6.323051673581997,7227.732158597082,0.0,3.7716448579261033,3.3833872990219462,10817.5614451766,245.00000000000003,113.99999999999996,130310.72789150472,0.0,67.99999999999997,60.99999999999999,12,5878,4402,maintank,BOS,13.589014561645525,6.323051673581997,7227.732158597082,0.0,3.7716448579261033,3.3833872990219462,10817.5614451766,245.00000000000003,113.99999999999996,130310.72789150472,0.0,67.99999999999997,60.99999999999999
13,13.0,8896.0,7692.0,maindps,Baconjack,CDH,12.635561209714773,6.1500519162328535,6344.04198785097,38.61282089478668,4.025488526988777,5.367318035985036,5365.808362185955,113.0,55.0,56734.855914115906,345.31499540805817,36.00000000000001,48.0,13,8896,7692,maindps,CDH,14.551813971623124,5.8532436086975705,6800.095278312441,34.20805244949487,4.308637656402378,6.259718859301567,7380.523157417773,178.99999999999991,71.99999999999999,83647.10112372036,420.78887212276453,52.99999999999999,76.99999999999999
