playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total
5197,7697,offense,Ado,WAS,9.120878018300383,5.030302422214151,4405.766315004605,8807.732276629293,4.422243887660792,2.211121943830396,10854.21817958355
8675,7693,offense,Adora,HZS,14.18563433885192,4.29867707237937,4294.318757279122,8900.980565242058,4.728544779617307,2.794140097046591,2791.556517958641
4142,4405,offense,Agilities,VAL,15.774976094546801,5.373892955285174,6235.477754340392,10183.339839297747,5.547244340939535,3.224335773171105,17305.889933764935
8751,7695,support,Aid,TOR,16.253043547234082,4.920646211547933,7053.5185582533095,10708.95709470882,4.721832223202561,3.181023813525936,12071.585203707218
5863,4402,support,AimGod,BOS,13.835938030898077,4.7880931133179505,7463.632783952406,10094.318822524812,4.7880931133179505,3.5332825043104874,18170.072707653046
3985,4523,offense,aKm,DAL,21.298906829976026,4.382071740138608,10230.809501594047,24.43514864903401,4.84066064317637,6.929787868126171,11775.25222313404
8672,4402,support,alemao,BOS,13.045985441951409,4.711050298482453,4793.2680941414355,4990.147961771174,3.261496360487852,1.8119424224932512,1655.6817494630814
8812,7692,tank,ameng,CDH,15.506285260322981,6.7602333559991195,7061.023625549405,0,4.520906056824411,4.436403139874422,14200.693222343922
4841,4403,support,Anamo,NYE,19.682712046309486,1.7701796701177697,5085.026362092307,6046.436172944787,3.456065070229931,2.1073567501402017,14235.843075931072
6981,4407,offense,Apply,FLA,12.750649274433473,6.4540323487873135,5008.681171845823,7427.370104336916,4.879878117375774,2.9908930396819255,3811.5706074237823
5715,4404,offense,Architect,SFS,15.222207120647465,4.4487436303300685,5243.971435991112,8473.734890062495,4.82393887626152,3.7519524593145155,11194.171689391136
4652,4403,support,ArK,NYE,10.032708095530491,2.7676436125601356,3005.7645935554997,5154.747516908129,2.421688160990119,1.037866354710051,1734.3273455500603
5878,4402,tank,Axxiom,BOS,13.589014561645524,6.323051673581998,7227.732158597083,0,3.771644857926104,3.383387299021946,10817.561445176601
8896,7692,offense,Baconjack,CDH,12.635561209714773,6.1500519162328535,6344.04198785097,38.61282089478668,4.025488526988777,5.367318035985036,5365.808362185955
4624,4525,support,Bani,HOU,14.522001182233842,5.350210961875625,6364.565789283623,7591.461944926478,4.2037371843308495,3.0572634067860722,1570.0315482616425
8676,7693,offense,Bazzi,HZS,16.5036620037162,5.774418985498897,5503.679276534318,7775.017480048084,4.731298136505548,4.02346613183149,16105.516456902027
4655,4410,support,Bdosin,LDN,15.702300680781779,3.791531139993649,8042.424874606232,8114.896030128051,4.442602143830942,4.251110672114091,15666.494038105011
8731,7693,support,BEBE,HZS,15.341650317994883,4.319885747435402,7998.525272810022,10387.41138735941,5.167713791324592,2.9472117716148065,14861.504158556461
8708,7694,tank,BenBest,PAR,15.532613889295778,7.042329178621392,7614.661442746811,0,4.73876355944617,4.343866596158989,9116.302060246468
4643,4406,support,BigG00se,GLA,13.518647044449727,5.010642810007486,4803.898927641626,4876.960863967425,3.362847523494957,2.5557641178561674,17842.02214962244
4656,4410,offense,BIRDRING,LDN,17.051886520350237,4.939167130032483,9647.421402473788,12.965313492032562,4.351171043123855,6.820754608140096,5102.0747702121735
8184,4402,offense,blase,BOS,14.696070457806261,6.208676957455229,4833.68254815024,8706.787593344667,4.821632105257784,3.1043384787276147,18168.12193208933
4625,4525,support,Boink,HOU,12.00069316790435,4.8138373724362085,3867.8205184029894,5888.126498675203,3.288325529058537,2.2713176334734224,17698.977636396885
4079,4524,support,Boombox,PHI,18.758929982708125,4.963901472347381,7757.887560965309,8423.327376514284,5.194780610596096,4.675302549536486,10395.049194157124
8704,4407,offense,bqb,FLA,19.03304466959879,4.848722406323646,9268.424692726941,57.36636059745719,4.486877450627852,5.21056736201944,16581.687558591366
8771,7696,tank,BUMPER,VAN,16.895064769531796,6.139333395125638,8758.002685841031,0,5.139907028477278,5.615824345928878,12607.23192870617
4620,4524,offense,carpe,PHI,20.766946083374055,4.759091810773221,10045.04692864237,8.80205128767635,4.362500826542119,7.751551055426079,16641.830657839775
8721,7699,support,Chara,GZC,13.531338020576902,3.9160461454899558,5100.923306315621,5082.024707172895,3.041928702300234,2.4125641432036335,17160.16550964117
5831,4404,tank,Choihyobin,SFS,20.122903361594503,3.0364483333352315,7047.340992420295,14.92827339320013,3.2937744632788952,6.072896666670463,11658.357434034348
4663,4523,support,Closer,DAL,13.394482632672826,3.4529686106890285,3972.0428563184164,5161.580097611268,2.921742670583024,1.7454566603483002,15812.480840682983
5306,4402,offense,ColourHex,BOS,16.786894520885298,5.088710185773592,9530.529032559833,18.26901433648566,4.328328203991331,4.1528554389646555,10258.002144813538
8892,4408,support,CoMa,SHD,13.278311893859149,3.847692651061458,3812.2802218772363,5456.198225728403,2.904630726781689,2.3765160491850184,15905.636325478554
4138,4525,tank,coolmatt,HOU,18.949333181435005,4.700609781441242,8567.228595815897,1.5390814120111072,4.259927614431126,4.774056809276262,8169.152894079685
8784,7697,offense,Corey,WAS,11.715298975178428,5.729753210567615,9762.398290184447,0,4.450790440351629,3.8368883106479563,11728.253823578358
3577,4405,support,Custa,VAL,14.447980160614296,4.514993800191967,4927.26492850935,5851.685290804381,3.4991201951487745,1.9188723650815858,5315.621917128563
8701,7698,tank,Daco,ATL,23.387346700507884,2.8245587802545753,7282.004320406355,0.4369592239106768,2.203155848598569,6.1575381409549745,10621.127876579762
