,status,player_id,team_id,role,name,team,elim_per_10m,death_per_10m,dmg_per_10m,heal_per_10m,ults_per_10m,finalblows_per_10m,duration,elims,deaths,damage,heal,ults,finalblows
44,Updated,4083,4524,flexdps,eqo,PHI,20.94998427178358,3.7747719408619065,5758.396377939567,9328.0276816609,4.718464926077384,5.473419314249765,3179,111,20,30509.90347578314,49423,25,29
45,NO_CHANGE,8692,7698,flexdps,Erster,ATL,,,,,,,,,,,,,
46,Updated,8684,7697,mainsupport,Fahzix,WAS,9.059452658068576,5.284680717206669,3788.2138143333536,6787.228688266751,2.8310789556464298,1.132431582258572,3179,48,28,20071.219526276218,35961,15,6
47,NO_CHANGE,4636,4405,maintank,Fate,VAL,,,,,,,,,,,,,
48,NO_CHANGE,5864,7694,offtank,Finnsi,PAR,,,,,,,,,,,,,
49,Updated,4657,4409,maintank,Fissure,SEO,17.32084071916941,5.925550772347429,8777.053013746201,0.0,4.861990377310711,4.102304380855912,3949,114,39,57767.63725213958,0,32,27
50,Updated,4631,4409,maindps,Fleta,SEO,21.28198631872308,4.104383075753737,11021.297758695799,1432.581707626045,5.016468203699012,7.600709399543958,3947,140,27,72501.77042262052,9424,33,50
51,Updated,4659,4410,offtank,Fury,LDN,21.12676056338028,3.490508266993264,8416.528896988752,0.0,3.85793018983466,7.899571341090018,3266,115,19,45813.972295942105,0,21,43
52,Updated,8203,4402,maintank,Fusions,BOS,14.589665653495441,6.686930091185411,7857.970539377452,0.0,4.103343465045593,5.319148936170213,3948,96,44,51705.446149103635,0,27,35
53,Updated,4606,4408,maintank,Gamsu,SHD,17.284707324547963,6.068035550107263,6461.989116477858,0.0,3.4937174379405453,6.251915415262029,3263,94,33,35142.450811778755,0,19,34
54,NO_CHANGE,8712,7698,maintank,Gator,ATL,,,,,,,,,,,,,
55,NO_CHANGE,5210,4408,offtank,Geguri,SHD,,,,,,,,,,,,,
56,Updated,4666,4410,maintank,Gesture,LDN,16.717697489283527,4.960195958358849,8695.598619503113,0.0,5.5113288426209435,4.960195958358849,3266,91,27,47333.04181882861,0,30,27
57,Updated,4413,7697,flexsupport,Gido,WAS,10.758100031456435,6.228373702422146,6921.320432276567,9553.947782321486,4.529726329034288,2.6423403586033345,3179,57,33,36671.46275701201,50620,24,14
58,Updated,8713,7693,maindps,GodsB,HZS,17.05372616984402,4.3674176776429805,13619.564713302969,38.058925476603115,5.407279029462738,6.239168110918544,2885,82,21,65487.40699646511,183,26,30
59,Updated,8789,4410,flexdps,Guard,LDN,16.717697489283527,4.776484996938151,5623.645844032542,7536.558481322719,4.960195958358849,3.490508266993264,3266,91,26,30611.378877683805,41024,27,19
60,Updated,8741,7693,maintank,Guxue,HZS,14.482758620689655,6.206896551724138,9170.848658501205,0.0,5.172413793103448,2.0689655172413794,580,14,6,8865.153703217831,0,5,2
61,Updated,4664,4407,flexsupport,HaGoPeun,FLA,10.844561288202433,3.5491291488662506,5125.613674409847,10373.907328294446,4.337824515280973,2.7604337824515284,3043,55,18,25995.40401871527,52613,22,14
62,NO_CHANGE,8750,7696,flexdps,Haksal,VAN,,,,,,,,,,,,,
63,Updated,8723,7699,maindps,Happy,GZC,15.779092702169624,3.5502958579881656,10126.847895409284,635.5029585798816,4.339250493096647,5.9171597633136095,3042,80,18,51343.11882972508,3222,22,30
64,Updated,4671,7699,offtank,HOTBA,GZC,15.389674449194343,3.7487668530088785,6095.5199921024505,0.0,3.7487668530088785,5.52449852022361,3041,78,19,30894.127159972588,0,19,28
65,Updated,4645,4406,flexdps,Hydration,GLA,13.778322106552357,5.143906919779547,4486.079677496592,10023.270055113288,4.960195958358849,2.9393753827311695,3266,75,28,24419.22704450645,54560,27,16
66,NO_CHANGE,8782,7697,mainsupport,Hyeonu,WAS,,,,,,,,,,,,,
67,NO_CHANGE,8742,7694,mainsupport,HyP,PAR,,,,,,,,,,,,,
68,Updated,8717,7693,mainsupport,iDK,HZS,11.230502599653379,4.3674176776429805,5314.406408490664,5483.396880415944,3.3275563258232235,0.6239168110918544,2885,54,21,25553.437480825945,26366,16,3
69,NO_CHANGE,8754,7695,maindps,ivy,TOR,,,,,,,,,,,,,
70,NO_CHANGE,5872,4405,flexsupport,IZaYaKI,VAL,,,,,,,,,,,,,
71,NO_CHANGE,4140,4525,flexdps,Jake,HOU,,,,,,,,,,,,,
72,Updated,4648,7697,maintank,Janus,WAS,12.834224598930483,5.850896508335955,6408.112566100555,0.0,3.397294746775716,4.529726329034288,3179,68,31,33952.31641272277,0,18,24
73,Updated,8179,4409,mainsupport,Jecse,SEO,13.373860182370821,4.5592705167173255,3955.749809781064,5316.869300911854,3.3434650455927053,1.9756838905775076,3948,88,30,26028.8337483594,34985,22,13
