,Unnamed: 0_prev,Unnamed: 0.1,Unnamed: 0.1.1,playerId_prev,teamId_prev,role_prev,name,team_prev,eliminations_avg_per_10m_prev,deaths_avg_per_10m_prev,hero_damage_avg_per_10m_prev,healing_avg_per_10m_prev,ultimates_earned_avg_per_10m_prev,final_blows_avg_per_10m_prev,time_played_total_prev,total_elims_prev,total_deaths_prev,total_hero_damage_prev,total_healing_prev,total_ultimates_prev,total_final_blows_prev,Unnamed: 0_curr,playerId_curr,teamId_curr,role_curr,team_curr,eliminations_avg_per_10m_curr,deaths_avg_per_10m_curr,hero_damage_avg_per_10m_curr,healing_avg_per_10m_curr,ultimates_earned_avg_per_10m_curr,final_blows_avg_per_10m_curr,time_played_total_curr,total_elims_curr,total_deaths_curr,total_hero_damage_curr,total_healing_curr,total_ultimates_curr,total_final_blows_curr
0,0.0,0.0,0.0,5197.0,7697.0,flexdps,Ado,WAS,7.552726796,4.286682776,3892.476963,8400.935983,4.184618901,1.735085886,5878.671531,73.99999999511006,41.99999999616542,38137.65584576907,82310.571995026,41.000000002322025,17.00000000311352,0,5197,7697,flexdps,WAS,9.120878018300383,5.030302422214152,4405.7663150046055,8807.732276629293,4.422243887660792,2.211121943830396,10854.21817958355,165.0,91.0,79701.91471886636,159335.07966315743,80.0,40.0
1,1.0,1.0,1.0,8675.0,7693.0,flexdps,Adora,HZS,14.88742577,2.835700147,4321.695272,8557.819748,4.608012738999999,2.835700147,1692.703654,41.999999999221274,8.00000000079206,12192.248963981541,24143.087929521596,13.000000001639746,8.00000000079206,1,8675,7693,flexdps,HZS,14.18563433885192,4.298677072379371,4294.318757279122,8900.980565242058,4.728544779617307,2.794140097046591,2791.5565179586406,65.99999999999999,20.0,19979.722528457638,41412.650521874435,22.0,12.999999999999998
2,2.0,2.0,2.0,4142.0,4405.0,flexdps,Agilities,VAL,16.35935451,5.080544878,6301.659466,9740.823188,5.486988468,3.353159619,11809.75691,321.9999999460203,99.99999996587604,124035.11070510068,191727.92325595208,107.99999995842221,65.99999996803037,2,4142,4405,flexdps,VAL,15.7749760945468,5.373892955285172,6235.477754340392,10183.339839297747,5.547244340939535,3.224335773171105,17305.889933764938,455.0,155.0,179850.81950175765,293719.5973616839,160.00000000000006,93.0
3,3.0,3.0,3.0,8751.0,7695.0,flexsupport,Aid,TOR,16.25304355,4.920646212,7053.518558,10708.95709,4.721832223,3.1810238139999996,12071.5852,326.9999999552258,98.99999997869213,141911.91705446356,215456.81319179843,94.99999996674984,63.999999989883264,3,8751,7695,flexsupport,TOR,16.253043547234082,4.9206462115479335,7053.5185582533095,10708.95709470882,4.721832223202561,3.181023813525936,12071.585203707216,327.0,99.0,141911.91710314155,215456.81335270405,95.0,63.99999999999999
4,4.0,4.0,4.0,5863.0,4402.0,flexsupport,AimGod,BOS,13.36594952,5.213274915,7339.745511,10083.863290000001,4.714131571999999,3.771305258,10818.53555,241.00000006937572,93.99999999975122,132342.16289784404,181821.05580700823,84.99999999843229,68.00000000595821,4,5863,4402,flexsupport,BOS,13.835938030898076,4.788093113317951,7463.632783952406,10094.318822524812,4.788093113317951,3.5332825043104874,18170.072707653046,419.0,145.00000000000003,226024.5839127302,305690.84489917755,145.00000000000003,107.0
5,5.0,5.0,5.0,3985.0,4523.0,maindps,aKm,DAL,21.57937277,3.9933358869999998,9972.377156,36.82700924,4.838080017,6.988337802,7813.016706999999,280.999999964318,52.000000002989424,129857.2488805552,479.5500641016055,63.000000004373064,91.00000000197608,5,3985,4523,maindps,DAL,21.298906829976026,4.382071740138608,10230.809501594047,24.435148649034012,4.840660643176371,6.929787868126169,11775.25222313404,418.0,85.99999999999999,200783.93721351027,479.55006408691423,95.0,135.99999999999997
6,6.0,6.0,6.0,8672.0,4402.0,mainsupport,alemao,BOS,13.04598544,4.711050298,4793.268094,4990.147962,3.26149636,1.8119424219999998,1655.681749,35.99999998454623,12.999999995032685,13226.877502166362,13770.16150915491,8.999999996136557,4.999999997240426,6,8672,4402,mainsupport,BOS,13.045985441951409,4.711050298482453,4793.268094141436,4990.147961771174,3.261496360487852,1.8119424224932512,1655.6817494630814,36.0,13.0,13226.877506256109,13770.161512374878,9.0,5.0
7,7.0,7.0,7.0,8812.0,7692.0,maintank,ameng,CDH,15.80067328,6.3641600710000015,7174.873348,0.0,4.553666258,4.663393156000001,10936.24284,288.00000004263217,116.00000001514613,130776.92879995305,0.0,83.00000001633683,85.00000002068336,7,8812,7692,maintank,CDH,15.506285260322981,6.76023335599912,7061.023625549406,0.0,4.520906056824411,4.436403139874422,14200.693222343922,367.0,160.00000000000003,167119.05057024962,0.0,107.0,105.0
8,8.0,8.0,8.0,4841.0,4403.0,mainsupport,Anamo,NYE,19.4065,1.9226253869999999,5031.968114,6296.539292,3.484758513,1.862543343,9986.344783,323.00000005214923,32.00000000521801,83751.61420577708,104799.02051603119,57.999999993853976,30.99999999413238,8,4841,4403,mainsupport,NYE,19.682712046309486,1.7701796701177697,5085.026362092307,6046.436172944787,3.456065070229931,2.1073567501402017,14235.843075931072,467.00000000000006,42.0,120649.39554619788,143460.19421112534,82.0,50.0
9,9.0,9.0,9.0,5715.0,4404.0,flexdps,Architect,SFS,15.43231058,4.522288815,5232.0243869999995,8323.088899,4.7484032560000005,3.957002713,10614.094309999999,272.99999986221803,79.99999996578023,92555.33379306324,147236.75087416678,83.99999996849179,69.99999996784645,10,5715,4404,flexdps,SFS,15.222207120647465,4.4487436303300685,5243.971435991112,8473.734890062495,4.8239388762615185,3.7519524593145164,11194.171689391133,284.0,82.99999999999999,97836.52764791249,158094.07201623914,89.99999999999996,70.0
