,status,player_id,team_id,role,name,team,elim_per_10m,death_per_10m,dmg_per_10m,heal_per_10m,ults_per_10m,finalblows_per_10m,duration,elims,deaths,damage,heal,ults,finalblows
0,Updated,5197,7697,flexdps,Ado,WAS,10.97266881,5.908360129,5011.767549,9287.580386,4.702572347,2.773311897,4976,91,49,41564.25887,77025,39,23
1,Updated,8675,7693,flexdps,Adora,HZS,13.10282075,6.551410373,4251.577924,9428.571429,4.91355778,2.729754322,1099,24,12,7787.473564,17270,9,5
2,Updated,4142,4405,flexdps,Agilities,VAL,14.51965066,6.004366812,6093.417991,11134.49782,5.676855895,2.947598253,5496,133,55,55815.7088,101992,52,27
3,NO_CHANGE,8751,7695,flexsupport,Aid,TOR,,,,,,,,,,,,,
4,Updated,5863,4402,flexsupport,AimGod,BOS,14.52665941,4.162132753,7645.464174,10109.08596,4.896626768,3.182807399,7352,178,51,93682.42101,123870,60,39
5,Updated,3985,4523,maindps,aKm,DAL,20.74709743,5.14891469,10741.04316,0,4.846037355,6.81474003,3962,137,34,70926.68833,0,32,45
6,NO_CHANGE,8672,4402,mainsupport,alemao,BOS,,,,,,,,,,,,,
7,Updated,8812,7692,maintank,ameng,CDH,14.52205882,8.088235294,6680.53709,0,4.411764706,3.676470588,3264,79,44,36342.12177,0,24,20
8,Updated,4841,4403,mainsupport,Anamo,NYE,20.33419628,1.412096964,5210.324501,5459.308072,3.389032714,2.682984232,4249,144,10,36897.78134,38661,24,19
9,Updated,5715,4404,flexdps,Architect,SFS,11.37931034,3.103448276,5463.303988,11231.37931,6.206896552,0,580,11,3,5281.193855,10857,6,0
10,Updated,4652,4403,mainsupport,ArK,NYE,8.856088561,1.47601476,3417.417692,6024.354244,2.95202952,0.73800738,813,12,2,4630.600973,8163,4,1
11,NO_CHANGE,5878,4402,maintank,Axxiom,BOS,,,,,,,,,,,,,
12,Updated,8896,7692,maindps,Baconjack,CDH,8.219178082,8.219178082,6121.56301,0,4.566210046,3.652968037,657,9,9,6703.111496,0,5,4
13,Updated,8676,7693,flexdps,Bazzi,HZS,18.26784612,5.060687101,5450.985854,9519.029006,4.937255709,3.826373174,4861,148,41,44162.0704,77120,40,31
14,Updated,4655,4410,flexsupport,Bdosin,LDN,15.2480098,3.490508267,8583.081289,10151.3166,5.14390692,4.041641151,3266,83,19,46720.57249,55257,28,22
15,Updated,8731,7693,flexsupport,BEBE,HZS,15.58293839,3.981042654,8947.488313,10745.63033,5.232227488,2.72985782,5275,137,35,78663.33475,94472,46,24
16,Updated,8708,7694,maintank,BenBest,PAR,11.73124778,9.384998223,6921.252723,0,4.052612869,3.626022041,2813,55,44,32449.13985,0,19,17
17,Updated,4643,4406,mainsupport,BigG00se,GLA,12.68338855,5.11121628,4828.116427,5787.600568,3.786086133,2.27165168,6339,134,54,51009.05005,61146,40,24
18,NO_CHANGE,4656,4410,maindps,BIRDRING,LDN,,,,,,,,,,,,,
19,Updated,8184,4402,flexdps,blase,BOS,16.40593117,6.692966943,5073.509823,8930.458441,4.734049789,2.938375731,7351,201,82,62158.95118,109413,58,36
20,Updated,4625,4525,mainsupport,Boink,HOU,13.1130064,5.117270789,3758.68091,4257.249467,2.878464819,2.398720682,3752,82,32,23504.28462,26622,18,15
21,Updated,4079,4524,flexsupport,Boombox,PHI,18.8738597,4.340987732,7803.132848,9000.188739,4.718464926,5.09594212,3179,100,23,41343.59887,47686,25,27
22,Updated,8704,4407,maindps,bqb,FLA,17.21854305,4.591611479,8711.358606,17.13024283,4.415011038,4.6799117,6795,195,52,98656.13622,194,50,53
23,Updated,8771,7696,maintank,BUMPER,VAN,19.9556541,6.917960089,10145.22627,0,5.321507761,4.789356984,2255,75,26,38129.14207,0,20,18
24,Updated,4620,4524,maindps,carpe,PHI,23.58490566,3.20754717,10484.35256,0,4.528301887,9.056603774,3180,125,17,55567.06857,0,24,48
25,Updated,8721,7699,mainsupport,Chara,GZC,13.27814042,3.247890463,5375.448572,5037.669161,3.152364273,2.101576182,6281,139,34,56271.98747,52736,33,22
26,Updated,5831,4404,offtank,Choihyobin,SFS,22.28739003,2.93255132,7731.123209,0,3.66568915,6.158357771,4092,152,20,52726.26029,0,25,42
27,Updated,4663,4523,mainsupport,Closer,DAL,16.35950518,2.726584196,4658.121168,4747.437516,3.029537995,2.726584196,3961,108,18,30751.36324,31341,20,18
28,Updated,5306,4402,maindps,ColourHex,BOS,17.54624592,4.815016322,9847.622569,12.24156692,4.488574538,4.162132753,7352,215,59,120666.2019,150,55,51
29,Updated,8892,4408,mainsupport,CoMa,SHD,15.94243011,3.570440077,4306.595466,5303.18295,2.906172156,2.989205646,7226,192,43,51865.76473,63868,35,36
30,Updated,4138,4525,offtank,coolmatt,HOU,17.57961783,4.585987261,7129.832185,0,2.292993631,3.821656051,1570,46,12,18656.39422,0,6,10
31,Updated,8784,7697,maindps,Corey,WAS,14.5616134,5.947701248,10648.34882,0,4.614595796,4.306956076,5851,142,58,103839.1483,0,45,42
32,NO_CHANGE,3577,4405,mainsupport,Custa,VAL,,,,,,,,,,,,,
33,Updated,8701,7698,offtank,Daco,ATL,26.67140825,2.13371266,7801.928684,0,2.347083926,6.614509246,2812,125,10,36565.0391,0,11,31
34,Updated,8711,7698,maindps,dafran,ATL,30.46974185,4.570461278,11731.75299,21.58273381,5.078290309,10.91832416,2363,120,18,46203.55385,85,20,43
35,Updated,4489,4525,maindps,Danteh,HOU,21.16353642,3.023362345,5841.87304,20.61383417,4.672469079,6.321575813,2183,77,11,21254.68141,75,17,23
36,Updated,8895,4408,maindps,DDing,SHD,20.0083022,2.905770029,7773.773664,52.55292653,4.151100042,5.728518057,7227,241,35,93635.10379,633,50,69
37,Updated,8893,4408,maindps,diem,SHD,21.17353999,4.234707999,10282.76315,0,4.317741489,7.473014116,7226,255,51,123838.7442,0,52,90
38,Updated,9251,7698,flexsupport,Dogman,ATL,21.76386913,4.480796586,7890.784932,8660.739687,4.480796586,7.254623044,2812,102,21,36981.47871,40590,21,34
39,NO_CHANGE,4616,4523,maindps,EFFECT,DAL,,,,,,,,,,,,,
40,Updated,8722,7699,flexdps,Eileen,GZC,20.59405941,3.168316832,6765.725291,7230.891089,5.544554455,5.544554455,1515,52,8,17083.45636,18258,14,14
41,NO_CHANGE,5175,4524,flexsupport,Elk,PHI,,,,,,,,,,,,,
42,Updated,8787,7692,offtank,Elsa,CDH,15.625,3.676470588,7999.77707,20.58823529,4.411764706,4.595588235,3264,85,20,43518.78726,112,24,25
43,Updated,4634,7695,offtank,Envy,TOR,18.63765374,3.973509934,8027.18434,16.65089877,3.784295175,7.473982971,6342,197,42,84847.33847,176,40,79
44,Updated,4083,4524,flexdps,eqo,PHI,20.94998427,3.774771941,5758.396378,9328.027682,4.718464926,5.473419314,3179,111,20,30509.90348,49423,25,29
45,Updated,8692,7698,flexdps,Erster,ATL,32.0056899,3.413940256,8255.607768,8105.761024,5.761024182,8.108108108,2812,150,16,38691.28174,37989,27,38
