,0,1,2,3,4,5,6,7,8,9,10,11,12,13
38,30,1/6/19,Volskaya Industries,BABYBAY,brigitte,560.0,5,2,6,5.36,2.14,6.43,"[91.95, 88.81, 93.01, 41.16, 94.27, 91.43]","[5.995, 3.375, 25.569, 0.0, 0.0, 0.0]"
39,30,1/6/19,Volskaya Industries,BABYBAY,unknown,350.0,0,0,4,0.0,0.0,6.86,"[62.62, 108.98, 47.77, 59.46]","[0.0, 0.0, 0.0, 0.0]"
40,30,1/6/19,Volskaya Industries,MOTH,lucio,560.0,6,2,3,6.43,2.14,3.21,"[109.32, 129.74, 124.06]","[78.986, 5.907, 54.634]"
41,30,1/6/19,Volskaya Industries,MOTH,unknown,350.0,0,0,3,0.0,0.0,5.14,"[117.48, 90.03, 116.63]","[0.0, 0.0, 0.0]"
42,30,1/6/19,Volskaya Industries,SLEEPY,zenyatta,560.0,5,3,5,5.36,3.21,5.36,"[56.9, 55.24, 105.83, 59.76, 96.76]","[76.661, 3.82, 19.097, 51.08, 0.0]"
43,30,1/6/19,Volskaya Industries,SLEEPY,unknown,350.0,0,0,3,0.0,0.0,5.14,"[47.12, 124.13, 36.52]","[11.968, 7.021, 39.221]"
44,30,1/6/19,Volskaya Industries,SMURF,reinhardt,505.59,2,6,7,2.37,7.12,8.31,"[60.38, 92.17, 53.68, 15.49, 69.93, 113.65, 88.5]","[0.0, 39.703, 0.0, 0.0, 0.512, 0.0, 24.275]"
45,30,1/6/19,Volskaya Industries,SMURF,winston,54.41,0,0,0,0.0,0.0,N/A,N/A,N/A
46,30,1/6/19,Volskaya Industries,SMURF,unknown,350.0,0,0,4,0.0,0.0,6.86,"[65.63, 59.67, 36.75, 69.8]","[2.89, 36.05, 0.0, 71.924]"
47,30,1/6/19,Volskaya Industries,CHOIHYOBIN,dva,560.0,4,5,0,4.29,5.36,N/A,N/A,N/A
48,30,1/6/19,Volskaya Industries,CHOIHYOBIN,unknown,350.0,0,0,2,0.0,0.0,3.43,"[116.48, 83.07]","[49.263, 32.943]"
49,30,1/6/19,Volskaya Industries,@UNKNOWN_RED#0,zarya,560.0,0,4,6,0.0,4.29,6.43,"[26.39, 102.62, 70.43, 80.57, 86.93, 81.17]","[0.0, 3.495, 35.01, 4.014, 17.879, 2.601]"
