,Unnamed: 0,playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total
38,38,9251,7698,flexsupport,Dogman,ATL,18.30732981,5.662060767000001,6703.494792,7418.957673000001,4.435280934,5.473325407999999,6358.109084000001
39,39,4616,4523,maindps,EFFECT,DAL,13.17206182,6.1469621839999995,9168.783912,8.554601402000001,4.6102216380000005,4.6102216380000005,5466.1146420000005
40,40,8722,7699,flexdps,Eileen,GZC,16.50770822,3.763415345,6474.602989999999,2678.61512,4.704269181,5.046397849,7014.904702
41,41,5175,4524,flexsupport,Elk,PHI,13.06476629,5.475674108,6413.144662,7953.25943,4.226836154,4.034707238,6245.806329
42,42,8787,7692,offtank,Elsa,CDH,17.88707123,3.8956504819999997,7030.704751,70.59268334,2.962889099,6.309856415,10935.27261
43,43,4634,7695,offtank,Envy,TOR,20.22932331,4.2745007489999995,7386.293906,249.73284759999999,3.379837802,5.914716153,12071.5852
44,44,4083,4524,flexdps,eqo,PHI,18.14133073,5.304222006,5644.191269,8214.074383,4.27903624,3.3429970630000003,13460.975030000001
45,45,8692,7698,flexdps,Erster,ATL,21.37297628,4.150092482,6121.855498,5767.536851,4.565101731,5.464288435,8674.505484000001
46,46,8684,7697,mainsupport,Fahzix,WAS,7.70253416,3.6485688130000002,4603.356347999999,6901.28565,3.5134366339999996,1.0810574259999999,4440.097154
47,47,4636,4405,maintank,Fate,VAL,14.7856036,6.351204295,7976.835078,0.0,4.522057458,4.369628555,11808.78405
48,48,5864,7694,offtank,Finnsi,PAR,23.31688764,3.4261549189999996,6922.695420999999,0.0,4.1875226780000006,6.757138867,6304.443469
49,49,4657,4409,maintank,Fissure,SEO,17.17236807,5.370267832000001,7974.901068000001,0.0,4.308703261000001,6.244497479,9608.45932
50,50,4631,4409,maindps,Fleta,SEO,20.23012521,4.308267407,10576.97638,529.9096857,3.9960741160000004,7.11800702,9609.431376999999
51,51,4659,4410,offtank,Fury,LDN,19.59510902,2.515915232,6886.406284999999,22.57663377,3.193277025,6.338171064,12401.053740000001
52,52,8203,4402,maintank,Fusions,BOS,13.27413047,7.130104366,7635.7483409999995,0.0,4.323573924,4.475278272,7910.122644
53,53,4606,4408,maintank,Gamsu,SHD,18.24354412,6.2643494870000005,7185.242481,0.0,4.176232991,6.594052091,5459.465515
54,54,8712,7698,maintank,Gator,ATL,13.43737191,5.8788502110000005,6701.287101,0.0,4.199178722,5.8788502110000005,714.4254147
55,55,5210,4408,offtank,Geguri,SHD,16.85837018,5.43818393,6097.47149,0.0,3.589201394,4.241783465,5516.547507
56,56,4666,4410,maintank,Gesture,LDN,16.35473371,4.983838971,7330.782136,0.0,4.3548107510000005,5.080612543,12400.079609999999
57,57,4413,7697,flexsupport,Gido,WAS,8.268544077,4.695716388999999,7858.324109,10157.86343,4.899877971,2.143696612,5877.697397
58,58,8713,7693,maindps,GodsB,HZS,18.13220135,4.359148151,9814.268754,96.60474994,4.080904652,5.843113478999999,12938.30768
59,59,8789,4410,flexdps,Guard,LDN,18.577940899999998,3.45253769,6192.754774,7423.766804000001,5.178806535,3.534740968,7298.978973
60,60,8741,7693,maintank,Guxue,HZS,13.80556815,6.002420934,8554.840958,0.0,4.951997271000001,3.6014525610000003,3998.386695
61,61,4664,4407,flexsupport,HaGoPeun,FLA,14.16330741,5.579484735,5552.743021,8587.732665000001,4.107972278,3.2495900110000004,9785.849875
62,62,8750,7696,flexdps,Haksal,VAN,17.96875229,3.999496478,5656.6305409999995,9167.420920999999,4.9848796680000005,4.695061082,10351.30303
63,63,8723,7699,maindps,Happy,GZC,16.9880153,4.357315613,8810.598109999999,1512.837264,4.357315613,6.287771897000001,10878.25721
64,64,4671,7699,offtank,HOTBA,GZC,17.9256655,3.254197736,6702.361844,4.005309648,3.088730055,5.791368853,10878.25721
65,65,4645,4406,flexdps,Hydration,GLA,15.440957699999998,5.581697546,5700.475864,9105.002129,5.320870558,3.129923857,11501.87725
66,66,8782,7697,mainsupport,Hyeonu,WAS,6.677800952999999,6.260438392999999,3572.6348399999997,7475.306214,3.7562630360000004,0.834725119,1437.599004
67,67,8742,7694,mainsupport,HyP,PAR,19.41787104,4.378539548,7307.229725,9425.879665,4.47372519,4.85446776,6303.471671
68,68,8717,7693,mainsupport,iDK,HZS,12.10268141,3.6632637210000003,4230.280847999999,5675.781028,3.106818599,2.2721509159999997,12939.281359999999
69,69,8754,7695,maindps,ivy,TOR,21.22339326,5.318274188,11601.7499,32.32027218,5.1194602,7.455524562999999,12071.5852
70,70,5872,4405,flexsupport,IZaYaKI,VAL,15.03841284,4.674101288,8352.502206000001,10881.9532,5.486988468,3.962825005,11809.75691
71,71,4140,4525,flexdps,Jake,HOU,14.78019941,5.552782097000001,5321.516304,5755.137659,4.164586573,4.409562254,7347.668121
72,72,4648,7697,maintank,Janus,WAS,7.148026803,6.841682797000001,5193.7931,0.0,3.471898733,2.450752047,5875.747414
73,73,8179,4409,mainsupport,Jecse,SEO,14.61064178,3.871195685,3786.651411,5565.031336999999,2.934616084,2.122913763,9609.434145000001
74,74,8811,7692,flexdps,JinMu,CDH,16.24103052,6.58420156,7553.850420999999,5277.267004,5.047887863,5.816044712,10935.26669
75,75,8748,7696,offtank,JJANU,VAN,19.76377349,2.897914002,6766.023074,0.0,1.7967066809999999,5.679911444,10352.27408
76,76,4653,4403,flexsupport,JJONAK,NYE,18.59509688,3.41093493,8687.211781,8413.023605,4.62126668,5.061387316,10906.10075
77,77,4635,4405,maindps,KariV,VAL,18.52653429,4.6910134889999995,10987.40698,34.83381244,4.92853316,5.522332335,10104.42628
78,78,3981,4402,mainsupport,Kellex,BOS,11.06877077,4.97767206,4681.084661999999,6150.518013,3.209288565,2.030366235,9160.908844
79,79,8691,7698,flexsupport,Kodak,ATL,15.07676376,5.072556031,7578.620778,9958.510804000001,5.072556031,4.227130026,4258.208261
80,80,8706,4407,mainsupport,Kris,FLA,13.79542929,4.291911335,3817.551789,5101.85658,2.63645982,2.023329629,9785.849875
81,81,8744,7694,mainsupport,Kruise,PAR,16.75267305,4.85446776,5339.830695000001,5302.353964,3.426683125,3.521868767,6303.471671
82,82,5865,4405,maindps,KSF,VAL,17.24005861,4.573893101,11256.02945,0.0,4.925731032,5.629406893,1705.3306289999998
83,83,4647,4405,mainsupport,KuKi,VAL,11.73366431,4.434770761,3740.973075,6757.606348,3.1412959560000004,2.124994323,6494.134996
84,84,8674,7699,flexdps,Kyb,GZC,16.45822744,3.571124822,4267.935756,7088.290690000001,4.036923712,4.036923712,3864.32866
85,85,8772,7692,flexsupport,Kyo,CDH,13.168396,5.267358399,5633.937247999999,8283.328747,4.444333649,3.346967316,10935.27261
86,86,8786,7692,offtank,lateyoung,CDH,19.26950062,5.973545193,8210.739681000001,260.6226284,4.33563764,4.913722658999999,6227.457697999999
87,87,4654,4403,flexdps,Libero,NYE,19.47359966,3.520650786,4761.58312,7695.132734999999,4.345803313999999,4.290793146,10907.07438
88,88,4629,4525,flexdps,LiNkzr,HOU,17.94937552,5.623624089,6260.564597,5999.910035,4.853264625,5.16140841,7788.571801000001
89,89,8891,4408,flexsupport,Luffy,SHD,15.48574132,4.908426935,7640.968612000001,8102.75007,4.2170991980000005,4.147966424,8678.951640000001
90,90,4093,4403,maintank,Mano,NYE,18.26174333,4.1803990760000005,7894.14282,0.0,4.950472588999999,5.885561856,10908.049490000001
91,91,8681,7698,mainsupport,Masaa,ATL,16.16379367,4.464824125,4822.6101,5830.611839,3.504039187,3.051905098,10616.31963
92,92,4649,4403,offtank,MekO,NYE,22.33412843,2.695498258,7711.893884,15.53714684,3.135579607,6.821260898999999,10907.07438
93,93,8242,4409,offtank,Michelle,SEO,20.79417661,2.8100238660000003,7216.539154000001,34.55569281,2.497798992,4.995597983,9608.45932
94,94,5716,4404,mainsupport,moth,SFS,12.54722565,4.006677098,3874.0168719999997,7232.697222,3.479482743,2.425094033,11381.00199
95,95,4623,4525,maintank,Muma,HOU,15.48635731,5.721348674,7230.622281999999,0.0,4.043659965,5.248154423,13947.76032
96,96,4642,4409,flexdps,Munchkin,SEO,17.54348323,5.24431527,5804.017057,8068.575870000001,4.994585972,4.370262725,9610.406202
97,97,8236,4403,maindps,Nenne,NYE,23.43433237,2.585477984,11514.2251,0.038574102,5.005925459,7.9214644629999995,10907.074120000001
98,98,4024,4524,mainsupport,neptuNo,PHI,15.24296483,5.125558348,4748.053132,4978.841269,3.209045227,3.075335009,13461.94801
99,99,4626,4404,offtank,Nevix,SFS,13.83133918,4.5580549580000005,5785.457295,17.60965502,2.514788943,3.7721834139999997,3817.417771
100,100,8743,7694,flexdps,NiCOgdh,PAR,19.03712847,5.4255816139999995,5233.367685,8740.274369,4.85446776,3.712240052,6303.471671
101,101,8671,7698,flexdps,NLaaeR,ATL,13.89521667,6.69496803,4935.903895,6462.768373,4.421205303,3.915924697,4749.835975
102,102,8714,7693,maintank,NoSmite,HZS,14.22676058,6.173877232000001,6042.155488,0.0,3.82511959,3.82511959,8940.896931000001
103,103,4607,4402,offtank,NotE,BOS,15.53029836,5.324673725,6870.534942,20.50509654,4.159901347,4.936416266,10817.56423
104,104,4660,4410,mainsupport,NUS,LDN,13.64400281,3.096511276,4271.255018,6275.374636,3.2900432310000003,1.6934046040000001,12401.05285
105,105,5717,4523,maintank,OGE,DAL,14.4277124,6.074826275,7385.091278,0.0,3.746142869,5.011731676,11852.19079
106,106,4668,4524,offtank,Poko,PHI,18.48243778,3.862001924,6737.470995999999,5.9685134689999995,4.091882991,5.425193179,13050.226540000001
107,107,8702,7698,maintank,Pokpo,ATL,17.932437399999998,5.997673319,7726.525299,0.0,4.483109348999999,4.846604702,9903.840514
108,108,4662,4410,maindps,Profit,LDN,19.06289618,3.3868089660000003,9066.258695999999,4153.099915,5.37051136,5.564043301,12401.053740000001
109,109,4658,4404,maindps,Rascal,SFS,16.19889182,6.479556727,6686.631184000001,5306.996784,3.702603844,5.091080286,1296.384977
110,110,4136,4525,flexsupport,Rawkus,HOU,12.60417415,4.947030808,6539.502312,8608.342067,4.1727129419999995,3.5704657139999996,13947.76032
111,111,8801,4523,offtank,rCk,DAL,16.34340876,3.8556633330000003,6838.755365000001,121.9980373,4.661324329,4.488682687,10426.22151
